"Date";"Event";"AgeGroup";"RegionName";"New";"Cumulative";"Instant"
"2020-03-06";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-03-06";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-03-07";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-03-07";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-03-07";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-03-07";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-03-07";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-03-07";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-03-07";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-03-07";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-03-07";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-03-07";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-03-08";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-03-08";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-03-08";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-03-08";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-03-08";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-03-08";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-03-08";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-03-08";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-03-08";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-03-08";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-03-09";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-03-09";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-03-09";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-03-09";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-03-09";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-03-09";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-03-09";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-03-09";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-03-09";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-03-09";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-03-10";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-03-10";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-03-10";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-03-10";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-03-10";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-03-10";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-03-10";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-03-10";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-03-10";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-03-10";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-03-11";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-03-11";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-03-11";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-03-11";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-03-11";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-03-11";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-03-11";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-03-11";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-03-11";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-03-11";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-03-12";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-03-12";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-03-12";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-03-12";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-03-12";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-03-12";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-03-12";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-03-12";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-03-12";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-03-12";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-03-13";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-03-13";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-03-13";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-03-13";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-03-13";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-03-13";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-03-13";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-03-13";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-03-13";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-03-13";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-03-14";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-03-14";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-03-14";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-03-14";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-03-14";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-03-14";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-03-14";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-03-14";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-03-14";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-03-14";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-03-15";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-03-15";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-03-15";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-03-15";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-03-15";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-03-15";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-03-15";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-03-15";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-03-15";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-03-15";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-03-16";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-03-16";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-03-16";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-03-16";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-03-16";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-03-16";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-03-16";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-03-16";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-03-16";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-03-16";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-03-17";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-03-17";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-03-17";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-03-17";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-03-17";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-03-17";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-03-17";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-03-17";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-03-17";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-03-17";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-03-18";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-03-18";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-03-18";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-03-18";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-03-18";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-03-18";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-03-18";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-03-18";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-03-18";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-03-18";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-03-19";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-03-19";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-03-19";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-03-19";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-03-19";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-03-19";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-03-19";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-03-19";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-03-19";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-03-19";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-03-20";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-03-20";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-03-20";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-03-20";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-03-20";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-03-20";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-03-20";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-03-20";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-03-20";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-03-20";"Hospitalised";"60+";"Zealand";NA;NA;NA
